"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"WPerLesLon";"4001040";"Lonen";"D";4;;
"WPerLesOwe";"4001050";"Overwerk";"D";4;;
"WPerLesOnr";"4001060";"Onregelmatigheidstoeslag";"D";4;;
"WPerLesVag";"4001070";"Vakantiebijslag";"D";4;;
"WPerLesVad";"4001080";"Vakantiedagen";"D";4;;
"WPerLesGra";"4001090";"Gratificaties";"D";4;;
"WPerLesLin";"4001100";"Lonen in natura";"D";4;;
"WPerLesTls";"4001110";"Eindheffing spaarloon";"D";4;;
"WPerLesLoo";"4001120";"Loonkostenreductie";"C";4;;"C"
"WPerLesOvt";"4001130";"Overige toeslagen";"D";4;;
"WPerLesOnu";"4001140";"Ontslaguitkeringen";"D";4;;
"WPerLesLiv";"4001150";"Lasten in verband met aandelen(optie)regelingen";"D";4;;
"WPerLesOlr";"4001160";"Overige lonen en salarissen";"D";4;;
"WPerLesDle";4001990;"Doorberekende lonen en salarissen";"C";4;;
"WPerSol";"4002000";"Sociale lasten";"D";3;;
"WPerSolPsv";"4002010";"Premies sociale verzekeringen";"C";4;;
"WPerSolBiz";"4002020";"Bijdrage ziektekostenverzekering";"D";4;;
"WPerSolOpr";"4002030";"Overige premies";"D";4;;
"WPerSolOsf";"4002040";"Overige sociale fondsen";"D";4;;
"WPerSolOss";"4002050";"Overige sociale lasten";"D";4;;
"WPerSolDsl";4002990;"Doorberekende sociale lasten";"C";4;;
"WPerPen";"4003000";"Pensioenlasten";"D";3;;
"WPerPenPen";"4003010";"Pensioenpremies";"C";4;;
"WPerPenDpe";"4003020";"Dotatie pensioenvoorziening directie";"D";4;;
"WPerPenVpv";"4003030";"Vrijval pensioenvoorziening directie";"C";4;;
"WPerPenDvb";"4003040";"Dotatie voorziening backserviceverplichting directie";"D";4;;
"WPerPenVvb";"4003050";"Vrijval voorziening backserviceverplichting directie";"C";4;;
"WPerPenDvl";"4003060";"Dotatie voorziening lijfrenteverplichtingen";"D";4;;
"WPerPenVvl";"4003070";"Vrijval voorziening lijfrenteverplichtingen";"C";4;;
"WPerPenOpe";"4003080";"Overige pensioenlasten";"D";4;;
"WPerPenDon";4003990;"Doorberekende pensioenlasten";"C";4;;
"WPerWkf";"4004000";"Werkkosten vrije ruimte";"D";3;;
"WPerWkfVtw";"4004010";"Verteer werknemers (buiten werkplek, extern)";"D";4;;
"WPerWkfMow";"4004020";"Maaltijden op de werkplek";"D";4;;
"WPerWkfVcn";"4004030";"Vaste vergoeding voor consumpties (niet-ambulante werknemer)";"D";4;;
"WPerWkfRvn";"4004040";"Rentevoordeel personeelslening (niet eigen woning of (elektrische) fiets/elektrische scooter)";"D";4;;
"WPerWkfHei";"4004050";"Huisvesting en inwoning (incl energie,water, bewassing) niet ter vervulling dienstbetrekking";"D";4;;
"WPerWkfVmn";"4004060";"Vergoeding/verstrekking mobiele telefoon incl. abonnement (indien niet noodzakelijk)";"D";4;;
"WPerWkfVtb";"4004070";"Vergoeding telefoonabonnementen/internetabonnementen bij werknemer thuis (indien niet noodzakelijk)";"D";4;;
"WPerWkfVvt";"4004080";"Vergoeding/verstrekking van tablet (indien niet noodzakelijk)";"D";4;;
"WPerWkfVlp";"4004090";"Vergoeding/verstrekking van laptop (indien niet noodzakelijk)";"D";4;;
"WPerWkfVdt";"4004100";"Vergoeding/verstrekking van desktop (indien niet noodzakelijk)";"D";4;;
"WPerWkfVcp";"4004110";"Vergoeding/verstrekking computerprogrammatuur (indien niet noodzakelijk)";"D";4;;
"WPerWkfIwt";"4004120";"Inrichting werkplek thuis (exclusief arbovoorzieningen)";"D";4;;
"WPerWkfVrh";"4004130";"Vergoeding reiskosten voorzover boven € 0,19 per kilometer";"D";4;;
"WPerWkfVpb";"4004140";"Vergoeding van kosten van persoonlijke beschermingsmiddelen aan werknemer";"D";4;;
"WPerWkfVww";"4004150";"Vergoeding van kosten van werkkleding die nagenoeg uitsluitend geschikt is om in te werken";"D";4;;
"WPerWkfVka";"4004160";"Vergoeding van kosten van kleding die achterblijft op de werkplek";"D";4;;
"WPerWkfVog";"4004170";"Verstrekking/vergoeding van overige kleding";"D";4;;
"WPerWkfEho";"4004180";"Eerste huisvestingskosten (tot 18% van het loon)";"D";4;;
"WPerWkfZve";"4004190";"Zakelijke verhuiskosten exclusief kosten overbrenging boedel (boven gerichte vrijstelling)";"D";4;;
"WPerWkfPfe";"4004200";"Personeelsfeesten (buiten de werkplek)";"D";4;;
"WPerWkfKrs";"4004210";"Kerstpakket aan personeel en postactieven";"D";4;;
"WPerWkfGmi";"4004220";"Geschenken met in hoofzaak ideële waarde bij feestdagen en jubilea";"D";4;;
"WPerWkfAgn";"4004230";"Andere geschenken in natura";"D";4;;
"WPerWkfAgg";"4004240";"Andere geschenken in de vorm van een geldsom";"D";4;;
"WPerWkfFie";"4004250";"Fietsvergoeding";"D";4;;
"WPerWkfBbd";"4004260";"Bedrijfsfitness buiten de werkplek";"D";4;;
"WPerWkfKpu";"4004270";"Producten uit eigen bedrijf en kortingen voor zover niet vrijgesteld";"D";4;;
"WPerWkfWep";"4004280";"Werkgeversbijdrage personeelsvereniging";"D";4;;
"WPerWkfVbp";"4004290";"Vergoeding werknemersbijdrage personeelsvereniging";"D";4;;
"WPerWkfVev";"4004300";"Vergoeding vakbondscontributie";"D";4;;
"WPerWkfPrz";"4004310";"Personeelsreizen";"D";4;;
"WPerWkfPwn";"4004320";"Parkeren bij werk (niet zijnde auto van de zaak) (geen eigen parkeerterrein, parkeervergunning)";"D";4;;
"WPerWkfPvn";"4004330";"Parkeer-, veer- en tolgelden (niet zijnde auto van de zaak)";"D";4;;
"WPerWkfPev";"4004340";"Persoonlijke verzorging";"D";4;;
"WPerWkfRaw";"4004350";"Representatievergoeding/relatiegeschenken aan werknemers";"D";4;;
"WPerWkfEbd";"4004360";"Eigen bijdrage werknemers voor kinderopvang op werkplek (dagopvang)";"C";4;;"C"
"WPerWkfEbb";"4004370";"Eigen bijdrage werknemers voor kinderopvang op werkplek (bso)";"C";4;;"C"
"WPerWkfKbd";"4004380";"Kinderopvang buiten de werkplek (factuurwaarde incl. btw of WEV)";"D";4;;
"WPerWkfEbw";"4004390";"Eigen bijdrage werknemers voor kinderopvang buiten de werkplek";"C";4;;"C"
"WPerWkfDkd";"4004400";"Door inhoudingsplichte verrichte kinderopvang op werkplek (dagopvang)";"D";4;;
"WPerWkfDkb";"4004410";"Door inhoudingsplichte verrichte kinderopvang op werkplek (bso)";"D";4;;
"WPerWkfOwr";"4004420";"Overige werkkosten vrije ruimte";"D";4;;
"WPerWkn";"4005000";"Werkkosten met nihilwaardering";"D";3;;
"WPerWknVwo";"4005010";"Verteer werknemers op werkplek (geen maaltijden)";"D";4;;
"WPerWknHit";"4005020";"Huisvesting en inwoning (incl energie,water, bewassing) ter vervulling dienstbetrekking";"D";4;;
"WPerWknRve";"4005030";"Rentevoordeel personeelslening eigen woning en (elektrische) fiets of elektrische scooter";"D";4;;
"WPerWknTbs";"4005040";"Ter beschikking stellen desktop computer op werkplek";"D";4;;
"WPerWknIwe";"4005050";"Inrichting werkplek (niet thuis)";"D";4;;
"WPerWknIwa";"4005060";"Inrichting werkplek arbo-voorzieningen (thuis)";"D";4;;
"WPerWknPwp";"4005070";"Parkeren werkplek (niet zijnde auto van de zaak)(op parkeerterrein van werkgever)";"D";4;;
"WPerWknTbg";"4005080";"Ter beschikking gestelde openbaarvervoerkaart/voordelenurenkaart (mede zakelijk gebruikt)";"D";4;;
"WPerWknVbm";"4005090";"Verstrekking van persoonlijke beschermingsmiddelen (veiligheidsbril, werkschoenen) door werkgever";"D";4;;
"WPerWknVwk";"4005100";"Verstrekking van werkkleding die nagenoeg uitsluitend geschikt is om in te werken door werkgever";"D";4;;
"WPerWknVvk";"4005110";"Verstrekking van kleding die achterblijft op de werkplek";"D";4;;
"WPerWknVkl";"4005120";"Verstrekking van kleding met bedrijfslogo van tenminste 70 cm²";"D";4;;
"WPerWknArv";"4005130";"Arbovoorzieningen";"D";4;;
"WPerWknPfw";"4005140";"Personeelsfeesten (op de werkplek)";"D";4;;
"WPerWknBod";"4005150";"Bedrijfsfitness op de werkplek";"D";4;;
"WPerWknOwn";"4005160";"Overige werkkosten nihilwaardering";"D";4;;
"WPerWkg";"4006000";"Werkkosten gericht vrijgesteld";"D";3;;
"WPerWkgVro";"4006010";"Vergoeding reiskosten (tot € 0,19) per kilometer";"D";4;;
"WPerWkgCem";"4006020";"Consumpties en maaltijden dienstreis";"D";4;;
"WPerWkgMbo";"4006030";"Maaltijden bij overwerk/werk op koopavonden";"D";4;;
"WPerWkgVca";"4006040";"Vaste vergoeding voor consumpties (ambulante werknemer)";"D";4;;
"WPerWkgOsc";"4006050";"Opleidingen, studies, cursussen, congressen, seminars, symposia, excursies, studiereizen";"D";4;;
"WPerWkgVak";"4006060";"Vakliteratuur";"D";4;;
"WPerWkgIwr";"4006070";"Inschrijving wettelijk en door beroepsgroep opgelegde registers";"D";4;;
"WPerWkgDuh";"4006080";"Dubbele huisvestingskosten";"D";4;;
"WPerWkgEkl";"4006090";"Extra kosten levensonderhoud";"D";4;;
"WPerWkgKap";"4006100";"Kosten aanvragen/omzetten papieren (verblijfsvergunningen, visa, rijbewijzen) ";"D";4;;
"WPerWkgKmk";"4006110";"Kosten medische keuringen, vaccinaties";"D";4;;
"WPerWkgRnl";"4006120";"Reiskosten naar land herkomst (familiebezoek, gezinshereniging)";"D";4;;
"WPerWkgCtw";"4006130";"Cursuskosten taal werkland (werknemer + gezin)";"D";4;;
"WPerWkgEhb";"4006140";"Eerste huisvestingskosten (boven 18% van het loon)";"D";4;;
"WPerWkgEtk";"4006150";"Extra (niet-zakelijke) telefoonkosten (gesprek) met land van herkomst";"D";4;;
"WPerWkgOkb";"4006160";"Opslagkosten boedel";"D";4;;"Referentiecode"
"WPerWkgKkw";"4006170";"Kosten kennismakingsreis werkland";"D";4;;
"WPerWkgK3r";"4006180";"Kosten 30% regeling";"D";4;;
"WPerWkgZvk";"4006190";"Zakelijke verhuiskosten: kosten overbrenging boedel";"D";4;;
"WPerWkgZvo";"4006200";"Zakelijke verhuiskosten exclusief kosten overbrenging boedel";"D";4;;
"WPerWkgOut";"4006210";"Outplacementkosten";"D";4;;
"WPerWkgHow";"4006220";"(Hotel)overnachtingen in verband met werk";"D";4;;
"WPerWkgVpr";"4006230";"Verstrekte producten en kortingen op producten uit eigen bedrijf (voor zover vrijgesteld)";"D";4;;
"WPerWkgOwv";"4006240";"Overige werkkosten gericht vrijgesteld";"D";4;;
"WPerWkc";"4007000";"Werkkosten noodzakelijkheidscriterium";"D";3;;
"WPerWkcVmt";"4007010";"Vergoeding/verstrekking mobiele telefoon incl. abonnement (mits noodzakelijk)";"D";4;;
"WPerWkcVtn";"4007020";"Vergoeding/verstrekking van tablet (mits noodzakelijk)";"D";4;;
"WPerWkcVln";"4007030";"Vergoeding/verstrekking van laptop (mits noodzakelijk)";"D";4;;
"WPerWkcVdn";"4007040";"Vergoeding/verstrekking van desktop (mits noodzakelijk)";"D";4;;
"WPerWkcVcm";"4007050";"Vergoeding/verstrekking computerprogrammatuur (mits noodzakelijk)";"D";4;;
"WPerWkcOwm";"4007060";"Overige werkkosten noodzakelijkheidscriterium";"D";4;;
"WPerWki";"4008000";"Werkkosten intermediair";"D";3;;
"WPerWkiMmz";"4008010";"Maaltijden met zakelijke relaties";"D";4;;
"WPerWkiPva";"4008020";"Parkeer-, veer- en tolgelden (auto van de zaak)";"D";4;;
"WPerWkiPwa";"4008030";"Parkeren bij werk (auto van de zaak) (geen eigen parkeerterrein, parkeervergunning)";"D";4;;
"WPerWkiOwi";"4008040";"Overige werkkosten intermediair";"D";4;;
"WPerWkb";"4009000";"Werkkosten belast loon";"D";3;;
"WPerWkbPga";"4009010";"Privé-gebruik auto's";"D";4;;
"WPerWkbGed";"4009020";"Genot dienstwoning";"D";4;;
"WPerWkbGbu";"4009030";"Geldboetes buitenlandse autoriteiten";"D";4;;
"WPerWkbGbi";"4009040";"Geldboetes binnenlandse autoriteiten";"D";4;;
"WPerWkbVzm";"4009050";"Vergoedingen en verstrekkingen ter zake van misdrijven";"D";4;;
"WPerWkbVwm";"4009060";"Vergoedingen en verstrekkingen ter zake van wapens en munitie";"D";4;;
"WPerWkbVdr";"4009070";"Vergoedingen en verstrekkingen ter zake van agressieve dieren";"D";4;;
"WPerWkbOwb";"4009080";"Overige werkkosten belast loon";"D";4;;
"WPerWkv";"4010000";"Werkkosten geen of vrijgesteld loon";"D";3;;
"WPerWkvFrb";"4010010";"Fruitmand, rouwkrans, bloemetje";"D";4;;
"WPerWkvKgs";"4010020";"Kleine geschenken (geen geld of waardebon) maximaal € 25";"D";4;;
"WPerWkvEub";"4010030";"Eenmalige uitkering/verstrekking bij 25/40-jarig diensttijdjubileum werknemer (voorzover =< 1 x maandloon)";"D";4;;
"WPerWkvWpv";"4010040";"Werkgeversbijdrage personeelsvereniging (als werknemers geen aanspraak hebben op uitkeringen uit de pv)";"D";4;;
"WPerWkvUtv";"4010050";"Uitkering/verstrekking tot vergoeding door werknemer ivm met werk gelden schade/verlies persoonlijke zaken";"D";4;;
"WPerWkvEuo";"4010060";"Eenmalige uitkering/verstrekking bij overlijden werknemer, zijn partner of kinderen (voorzover = < 3 x maandloon)";"D";4;;
"WPerWkvUue";"4010070";"Uitkering/verstrekking uit een personeelsfonds ";"D";4;;
"WPerWkvMpi";"4010080";"Meewerkvergoeding partner inhoudingsplichtige (indien lager dan € 5.000)";"D";4;;
"WPerWkvOwg";"4010090";"Overige werkkosten geen of vrijgesteld loon";"D";4;;
"WPerWko";"4011000";"Werkkosten overig";"C";3;;
"WPerWkoWee";"4011010";"Werkkosten eindheffing";"D";4;;
"WPerWkoCiB";"4011020";"Correctie inzake BTW";"C";4;;
"WPerWkoObw";"4011030";"Overboeking werkkosten";"C";4;;
"WPerWkoDwk";4011990;"Doorberekende werkkosten";"C";4;;
"WPerOvp";"4012000";"Overige personeelskosten";"D";3;;
"WPerOvpUik";"4012010";"Uitzendkrachten";"D";4;;
"WPerOvpUit";"4012020";"Uitzendbedrijven";"D";4;;
"WPerOvpMaf";"4012030";"Management fee";"D";4;;
"WPerOvpZzp";"4012040";"Ingehuurde zzp-ers";"D";4;;"Nieuw toegevoegd"
"WPerOvpPay";"4012050";"Ingehuurde payrollers";"D";4;;"Nieuw toegevoegd"
"WPerOvpOip";"4012060";"Overig ingeleend personeel";"D";4;;
"WPerOvpWer";"4012070";"Wervingskosten";"D";4;;
"WPerOvpAbd";"4012080";"Arbodienst";"D";4;;
"WPerOvpDdd";"4012090";"Diensten door derden";"D";4;;
"WPerOvpZie";"4012100";"Ziekengeldverzekering";"D";4;;
"WPerOvpOzi";"4012110";"Ontvangen ziekengelden";"C";4;;"C"
"WPerOvpDvr";"4012120";"Dotatie voorziening in verband met reorganisaties";"D";4;;
"WPerOvpVvr";"4012130";"Vrijval voorziening in verband met reorganisaties";"C";4;;
"WPerOvpDoa";"4012140";"Dotatie arbeidsongeschiktheidsvoorziening";"D";4;;
"WPerOvpDoj";"4012150";"Dotatie jubileumvoorziening";"D";4;;
"WPerOvpVva";"4012160";"Vrijval arbeidsongeschiktheidsvoorziening";"C";4;;
"WPerOvpVrj";"4012170";"Vrijval jubileumvoorziening";"C";4;;
"WPerOvpObp";"4012180";"Overige belastingen inzake personeel";"D";4;;
"WPerOvpOvp";"4012190";"Overige personeelskosten";"D";4;;
"WPerOvpDop";4012990;"Doorberekende overige personeelskosten";"C";4;;
"WAfs";;"AFSCHRIJVINGEN";"D";2;;
"WAfsAiv";"4101000";"Afschrijvingen immateriële vaste activa";"D";3;;
"WAfsAivOek";"4101010";"Afschrijving oprichtingskosten en kosten uitgifte van aandelen";"D";4;;
"WAfsAivKoe";"4101020";"Afschrijving kosten onderzoek en ontwikkeling";"D";4;;
"WAfsAivCev";"4101030";"Afschrijving concessies en vergunningen";"D";4;;
"WAfsAivSof";"4101040";"Afschrijving software";"D";4;;
"WAfsAivOie";"4101050";"Afschrijving overig intellectueel eigendom";"D";4;;
"WAfsAivBou";"4101060";"Afschrijving bouwclaims";"D";4;;
"WAfsAivGoo";"4101070";"Afschrijving goodwill";"D";4;;
"WAfsAivGue";"4101080";"Afschrijving goodwill uit eerdere overnames";"D";4;;
"WAfsAivViv";"4101090";"Afschrijving vooruitbetaalde immateriële vaste activa";"D";4;;
"WAfsAivOiv";"4101100";"Afschrijving overige immateriële vaste activa";"D";4;;
"WAfsAmv";"4102000";"Afschrijvingen materiële vaste activa";"D";3;;
"WAfsAmvBeg";"4102010";"Afschrijving bedrijfsgebouwen";"D";4;;
"WAfsAmvVeb";"4102020";"Afschrijving verbouwingen";"D";4;;
"WAfsAmvVas";"4102030";"Afschrijving vastgoedbeleggingen";"D";4;;
"WAfsAmvHuu";"4102040";"Afschrijving huurdersinvesteringen";"D";4;;
"WAfsAmvMei";"4102050";"Afschrijving machines en installaties";"D";4;;
"WAfsAmvSev";"4102060";"Afschrijving schepen en vliegtuigen";"D";4;;
"WAfsAmvTev";"4102070";"Afschrijving transport- en vervoermiddelen";"D";4;;
"WAfsAmvObe";"4102080";"Afschrijving overige vaste bedrijfsmiddelen";"D";4;;
"WAfsAmvBei";"4102090";"Afschrijving bedrijfsinventaris";"D";4;;
"WAfsAmvVbi";"4102100";"Afschrijving vaste bedrijfsmiddelen in uitvoering en vooruitbetaalde materiële vaste activa";"D";4;;
"WAfsAmvBgm";"4102110";"Afschrijving buitengebruikgestelde materiële vaste activa";"D";4;;
"WAfsAmvOmv";"4102120";"Afschrijving overige materiële vaste activa";"D";4;;
"WAfsOwi";"4103000";"Overige waardeveranderingen immateriële vaste activa";"D";3;;
"WAfsOwiOek";"4103010";"Overige waardeverandering oprichtingskosten en kosten uitgifte van aandelen";"D";4;;
"WAfsOwiKoe";"4103020";"Overige waardeverandering kosten onderzoek en ontwikkeling";"D";4;;
"WAfsOwiCev";"4103030";"Overige waardeverandering concessies en vergunningen";"D";4;;
"WAfsOwiSof";"4103040";"Overige waardeverandering software";"D";4;;
"WAfsOwiOie";"4103050";"Overige waardeverandering overig intellectueel eigendom";"D";4;;
"WAfsOwiBou";"4103060";"Overige waardeverandering bouwclaims";"D";4;;
"WAfsOwiGoo";"4103070";"Overige waardeverandering goodwill";"D";4;;
"WAfsOwiGue";"4103080";"Overige waardeverandering goodwill uit eerdere overnames";"D";4;;
"WAfsOwiViv";"4103090";"Overige waardeverandering vooruitbetaalde immateriële vaste activa";"D";4;;
"WAfsOwiOiv";"4103100";"Overige waardeverandering overige immateriële vaste activa";"D";4;;
"WAfsOwm";"4104000";"Overige waardeveranderingen materiële vaste activa";"D";3;;
"WAfsOwmBeg";"4104010";"Overige waardeverandering bedrijfsgebouwen";"D";4;;
"WAfsOwmVeb";"4104020";"Overige waardeverandering verbouwingen";"D";4;;
"WAfsOwmVas";"4104030";"Overige waardeverandering vastgoedbeleggingen";"D";4;;
"WAfsOwmHuu";"4104040";"Overige waardeverandering huurdersinvesteringen";"D";4;;
"WAfsOwmMei";"4104050";"Overige waardeverandering machines en installaties";"D";4;;
"WAfsOwmSev";"4104060";"Overige waardeverandering schepen en vliegtuigen";"D";4;;
"WAfsOwmTev";"4104070";"Overige waardeverandering transport- en vervoermiddelen";"D";4;;
"WAfsOwmObe";"4104080";"Overige waardeverandering overige vaste bedrijfsmiddelen";"D";4;;
"WAfsOwmBei";"4104090";"Overige waardeverandering bedrijfsinventaris";"D";4;;
"WAfsOwmVbi";"4104100";"Overige waardeverandering vaste bedrijfsmiddelen in uitvoering en vooruitbetaalde materiële vaste activa";"D";4;;
"WAfsOwmBgm";"4104110";"Overige waardeverandering buitengebruikgestelde materiële vaste activa";"D";4;;
"WAfsOwmOmv";"4104120";"Overige waardeverandering overige materiële vaste activa";"D";4;;
"WAfsRvi";"4105000";"Resultaat verkoop immateriële vaste activa";"C";3;;
"WAfsRviOek";"4105010";"Resultaat verkoop oprichtingskosten en kosten uitgifte van aandelen";"C";4;;
"WAfsRviKoe";"4105020";"Resultaat verkoop kosten onderzoek en ontwikkeling";"C";4;;
"WAfsRviCev";"4105030";"Resultaat verkoop concessies en vergunningen";"C";4;;
"WAfsRviSof";"4105040";"Resultaat verkoop software";"C";4;;
"WAfsRviOie";"4105050";"Resultaat verkoop overig intellectueel eigendom";"C";4;;
"WAfsRviBou";"4105060";"Resultaat verkoop bouwclaims";"C";4;;
"WAfsRviGoo";"4105070";"Resultaat verkoop goodwill";"C";4;;
"WAfsRviGue";"4105080";"Resultaat verkoop goodwill uit eerdere overnames";"C";4;;
"WAfsRviViv";"4105090";"Resultaat verkoop vooruitbetaalde immateriële vaste activa";"C";4;;
"WAfsRviOiv";"4105100";"Resultaat verkoop overige immateriële vaste activa";"C";4;;
"WAfsRvm";"4106000";"Resultaat verkoop materiële vaste activa";"C";3;;
"WAfsRvmBeg";"4106010";"Resultaat verkoop bedrijfsgebouwen";"C";4;;
"WAfsRvmVeb";"4106020";"Resultaat verkoop verbouwingen";"C";4;;
"WAfsRvmVas";"4106030";"Resultaat verkoop vastgoedbeleggingen";"C";4;;
"WAfsRvmHuu";"4106040";"Resultaat verkoop huurdersinvesteringen";"C";4;;
"WAfsRvmMei";"4106050";"Resultaat verkoop machines en installaties";"C";4;;
"WAfsRvmSev";"4106060";"Resultaat verkoop schepen en vliegtuigen";"C";4;;
"WAfsRvmTev";"4106070";"Resultaat verkoop transport- en vervoermiddelen";"C";4;;
"WAfsRvmObe";"4106080";"Resultaat verkoop overige vaste bedrijfsmiddelen";"C";4;;
"WAfsRvmBei";"4106090";"Resultaat verkoop bedrijfsinventaris";"C";4;;
"WAfsRvmVbi";"4106100";"Resultaat verkoop vaste bedrijfsmiddelen in uitvoering en vooruitbetaalde materiële vaste activa";"C";4;;
"WAfsRvmBgm";"4106110";"Resultaat verkoop buitengebruikgestelde materiële vaste activa";"C";4;;
"WAfsRvmOmv";"4106120";"Resultaat verkoop overige materiële vaste activa";"C";4;;
"WAfsDae";"4199000";"Doorberekende afschrijvingen en waardeveranderingen";"C";3;;
"WAfsDaeDaf";"4199010";"Doorberekende afschrijvingen";"C";4;;
"WAfsDaeDow";"4199020";"Doorberekende waardeveranderingen";"C";4;;
"WAfsDaeDve";"4199030";"Doorberekende verkoopresultaten";"C";4;;
"WBed";;"OVERIGE BEDRIJFSKOSTEN";"D";2;;
"WBedHui";"4201000";"Huisvestingskosten";"D";3;;
"WBedHuiErf";"4201010";"Erfpacht";"D";4;;
"WBedHuiLee";"4201020";"Leefbaarheid";"D";4;;
"WBedHuiLas";"4201030";"Lasten servicecontracten";"D";4;;
"WBedHuiBeh";"4201040";"Betaalde huur";"D";4;;
"WBedHuiOhu";"4201050";"Ontvangen huursuppletie";"C";4;;"C"
"WBedHuiHuw";"4201060";"Huurwaarde woongedeelte";"C";4;;"C"
"WBedHuiOnt";"4201070";"Onderhoud terreinen";"D";4;;
"WBedHuiOng";"4201080";"Onderhoud gebouwen";"D";4;;
"WBedHuiSch";"4201090";"Schoonmaakkosten";"D";4;;
"WBedHuiSer";"4201100";"Servicekosten";"D";4;;
"WBedHuiGas";"4201110";"Gas";"D";4;;
"WBedHuiElk";"4201120";"Elektra";"D";4;;
"WBedHuiWat";"4201130";"Water";"D";4;;
"WBedHuiNed";"4201140";"Netdiensten";"D";4;;
"WBedHuiPre";"4201150";"Privé-gebruik energie";"C";4;;"C"
"WBedHuiAoz";"4201160";"Assurantiepremies onroerende zaak";"D";4;;
"WBedHuiOnz";"4201170";"Onroerende zaakbelasting";"D";4;;
"WBedHuiMez";"4201180";"Milieuheffingen en zuiveringsleges";"D";4;;
"WBedHuiObh";"4201190";"Overige belastingen inzake huisvesting";"D";4;;
"WBedHuiOvh";"4201200";"Overige vaste huisvestingslasten";"D";4;;
"WBedHuiDrg";"4201210";"Dotatie reserve assurantie eigen risico gebouwen";"D";4;;
"WBedHuiVrg";"4201220";"Vrijval reserve assurantie eigen risico gebouwen";"C";4;;
"WBedHuiDvg";"4201230";"Dotatie voorziening groot onderhoud gebouwen";"D";4;;
"WBedHuiVgb";"4201240";"Vrijval voorziening groot onderhoud gebouwen";"C";4;;
"WBedHuiDkg";"4201250";"Dotatie kostenegalisatiereserve groot onderhoud gebouwen";"D";4;;
"WBedHuiVkg";"4201260";"Vrijval kostenegalisatiereserve groot onderhoud gebouwen";"C";4;;
"WBedHuiOhv";"4201270";"Overige huisvestingskosten";"D";4;;
"WBedHuiDoh";4201990;"Doorberekende huisvestingskosten";"C";4;;
"WBedEem";"4202000";"Exploitatie- en machinekosten";"D";3;;
"WBedEemRoi";"4202010";"Reparatie en onderhoud inventaris";"D";4;;
"WBedEemOls";"4202020";"Operational leasing inventaris";"D";4;;
"WBedEemHui";"4202030";"Huur inventaris";"D";4;;
"WBedEemKai";"4202040";"Kleine aanschaffingen inventaris";"D";4;;
"WBedEemGsk";"4202050";"Gereedschapskosten";"D";4;;
"WBedEemDvi";"4202060";"Dotatie voorziening groot onderhoud inventaris";"D";4;;
"WBedEemVoi";"4202070";"Vrijval voorziening groot onderhoud inventaris";"C";4;;
"WBedEemDki";"4202080";"Dotatie kostenegalisatiereserve groot onderhoud inventaris";"D";4;;
"WBedEemVki";"4202090";"Vrijval kostenegalisatiereserve groot onderhoud inventaris";"C";4;;
"WBedEemOki";"4202100";"Overige kosten inventaris";"D";4;;
"WBedEemRom";"4202110";"Reparatie en onderhoud machines";"D";4;;
"WBedEemOlm";"4202120";"Operational leasing machines";"D";4;;
"WBedEemHum";"4202130";"Huur machines";"D";4;;
"WBedEemOme";"4202140";"Onderhoud machines en installaties";"D";4;;
"WBedEemBrm";"4202150";"Brandstof machines";"D";4;;
"WBedEemKam";"4202160";"Kleine aanschaffingen machines";"D";4;;
"WBedEemDvm";"4202170";"Dotatie voorziening groot onderhoud machines";"D";4;;
"WBedEemVgo";"4202180";"Vrijval voorziening groot onderhoud machines";"C";4;;
"WBedEemDkm";"4202190";"Dotatie kostenegalisatiereserve groot onderhoud machines";"D";4;;
"WBedEemVkm";"4202200";"Vrijval kostenegalisatiereserve groot onderhoud machines";"C";4;;
"WBedEemObm";"4202210";"Overige belastingen inzake exploitatie en machines";"D";4;;
"WBedEemOkm";"4202220";"Overige kosten machines";"D";4;;
"WBedEemWdd";"4202230";"Werk door derden";"D";4;;
"WBedEemDrm";"4202240";"Dotatie reserve assurantie eigen risico machines";"D";4;;
"WBedEemVrm";"4202250";"Vrijval reserve assurantie eigen risico machines";"C";4;;
"WBedEemAme";"4202260";"Assurantiepremie machines en inventaris";"D";4;;
"WBedEemVpm";"4202270";"Verpakkingsmaterialen";"D";4;;
"WBedEemOee";"4202280";"Overige exploitatie- en machinekosten";"D";4;;
"WBedEemDem";4202990;"Doorberekende exploitatie- en machinekosten";"C";4;;
"WBedVkk";"4203000";"Verkoopkosten";"D";3;;
"WBedVkkRea";"4203010";"Reclame- en advertentiekosten";"D";4;;
"WBedVkkKos";"4203020";"Kosten sponsoring";"D";4;;
"WBedVkkBeu";"4203030";"Beurskosten";"D";4;;
"WBedVkkRel";"4203040";"Relatiegeschenken";"D";4;;
"WBedVkkKer";"4203050";"Kerstpakketten relaties";"D";4;;
"WBedVkkRep";"4203060";"Representatiekosten";"D";4;;
"WBedVkkRev";"4203070";"Reis- en verblijfkosten";"D";4;;
"WBedVkkEta";"4203080";"Etalagekosten";"D";4;;
"WBedVkkVrk";"4203090";"Vrachtkosten";"D";4;;
"WBedVkkInc";"4203100";"Incassokosten";"D";4;;
"WBedVkkKmz";"4203110";"Kilometervergoeding zakelijke reizen";"D";4;;
